tweet_id,favorite_count,retweet_count,followers_count
880465832366813184,26113,5502,8912750
880221127280381952,24727,3678,8912750
880095782870896641,25345,3854,8912750
879862464715927552,20533,3084,8912750
879674319642796034,291,10,8912750
879492040517615616,21562,2807,8912750
879415818425184262,97000,39531,8912750
879376492567855104,15474,2774,8912750
879130579576475649,0,6028,8912750
879050749262655488,20697,4159,8912750
879008229531029506,17474,2371,8912750
878776093423087618,17795,3626,8912750
878604707211726852,27592,6255,8912750
878404777348136964,0,1127,8912750
878316110768087041,0,5884,8912750
878281511006478336,7096,1127,8912750
878057613040115712,38708,6028,8912750
877736472329191424,72668,16775,8912750
877611172832227328,0,71,8912750
877556246731214848,20868,3382,8912750
877316821321428993,25225,4622,8912750
877201837425926144,24919,4931,8912750
876838120628539392,19037,2957,8912750
876537666061221889,21863,4174,8912750
876484053909872640,17290,2098,8912750
876120275196170240,25775,4136,8912750
875747767867523072,23106,3790,8912750
875144289856114688,20205,4368,8912750
875097192612077568,25276,5414,8913379
875021211251597312,23506,4189,8912751
874680097055178752,25639,4120,8912751
874434818259525634,0,12916,8912751
874296783580663808,23996,3673,8912751
874057562936811520,20958,3544,8912751
874012996292530176,31477,9080,8912751
873580283840344065,22341,3511,8912751
873337748698140672,0,1406,8912751
873213775632977920,6607,1406,8912751
872967104147763200,25135,4824,8912751
872820683541237760,13609,3322,8912751
872620804844003328,19136,3246,8912751
872486979161796608,37646,8106,8912751
872122724285648897,31616,7246,8912751
871879754684805121,34654,9769,8912751
871762521631449091,18690,3124,8912751
871515927908634625,18673,3114,8912751
871166179821445120,0,5115,8912751
871102520638267392,19350,4939,8912751
871032628920680449,21053,3414,8912751
870804317367881728,31152,5548,8912751
870726314365509632,112,3,8912751
870656317836468226,11396,2339,8912751
870374049280663552,76974,23921,8912751
870308999962521604,20328,3736,8912751
870063196459192321,33837,7476,8912751
869772420881756160,39517,9138,8912751
869702957897576449,26165,5665,8912751
869596645499047938,14806,2795,8912751
869227993411051520,18957,3390,8912751
868880397819494401,60617,12988,8912751
868639477480148993,0,1861,8912751
868622495443632128,24720,4764,8912751
868552278524837888,9350,1861,8912751
867900495410671616,22511,3780,8912751
867774946302451713,31595,6623,8912751
867421006826221569,14958,2256,8912751
867072653475098625,0,108,8912751
